"Gestational age, weeks",3rd,5th,10th,50th,90th,95th,97th,
15,6.9,7.3,7.9,10.4,13.8,14.9,15.7,
16,7.3,7.7,8.3,10.9,14.4,15.6,16.4,
17,7.6,8,8.7,11.4,15.1,16.3,17.1,
18,8,8.4,9.1,12,15.8,17,17.9,
19,8.4,8.8,9.5,12.6,16.5,17.8,18.8,
20,8.8,9.2,10,13.1,17.2,18.6,19.6,
21,9.2,9.6,10.4,13.7,17.9,19.4,20.4,
22,9.5,10,10.8,14.2,18.6,20.1,21.1,
23,9.8,10.3,11.1,14.6,19.1,20.7,21.7,
24,10,10.5,11.3,14.9,19.6,21.1,22.2,
25,10.1,10.6,11.5,15.1,19.8,21.4,22.5,
26,10.1,10.6,11.5,15.2,20,21.6,22.7,
27,10.1,10.6,11.4,15.1,20,21.6,22.7,
28,9.9,10.5,11.3,15,19.9,21.5,22.7,
29,9.7,10.3,11.1,14.8,19.8,21.4,22.6,
30,9.5,10.1,10.9,14.7,19.7,21.4,22.6,
31,9.3,9.9,10.7,14.5,19.6,21.4,22.6,
32,9.1,9.7,10.5,14.4,19.7,21.5,22.8,
33,8.9,9.4,10.3,14.3,19.8,21.7,23,
34,8.6,9.2,10.1,14.2,19.9,21.9,23.3,
35,8.4,8.9,9.9,14.1,20.1,22.2,23.7,
36,8,8.6,9.6,13.9,20.3,22.6,24.2,
37,7.7,8.2,9.2,13.7,20.4,22.8,24.6,
38,7.2,7.8,8.7,13.3,20.4,22.9,24.8,
39,6.6,7.2,8.1,12.7,20,22.7,24.7,
40,5.9,6.4,7.4,11.9,19.3,22.1,24.1,
